Id;Label;PageRank;Authorithy;Eccentricity;Hub;Closeness;Harmonic Closeness;Betweenness;Clustering Coeff.
purple;purple;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
christian;christian;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
liberal;liberal;0.0022977189389218836;0.04798378;2.0;0.04798378;0.9954233409610984;0.9977011494252873;1.272.007.601.566.790;0.9959797859191895
rich;rich;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
american;american;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
conservative;conservative;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
hiring;hiring;0.002288084725206187;0.047824316;2.0;0.047824316;0.9908883826879271;0.9954022988505747;0.35688487763421145;0.9985970854759216
jobs;jobs;0.0022880628717391535;0.04782688;2.0;0.04782688;0.9908883826879271;0.9954022988505747;0.3240544259767004;0.9987050294876099
religion;religion;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
timesup;timesup;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
skin;skin;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
bra;bra;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
hair;hair;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
house;house;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
social;social;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
ink;ink;0.0022931111329539873;0.04788668;2.0;0.04788668;0.9931506849315068;0.996551724137931;11.259.693.770.518.600;0.9965519309043884
blacklivesmatter;blacklivesmatter;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
yellow;yellow;0.0023028338302370573;0.048040748;2.0;0.048040748;0.9977064220183486;0.9988505747126437;2.173.303.826.786.760;0.9937421083450317
asian;asian;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
lgbtq;lgbtq;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
loveyourself;loveyourself;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
respect;respect;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
science;science;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
manhood;manhood;0.0023023503783778736;0.048078056;2.0;0.048078053;0.9977064220183486;0.9988505747126437;14.528.093.183.488.900;0.9952959418296814
queer;queer;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
daughter;daughter;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
